metier;sexe;formation;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;intervalle_revenus;presence_enfants;presence_enfant_conduite_accompagnée;Index
chargé des relations publiques;F;z_High School;Commercial;Van;yes;0;7;Highly Urban/ Urban;16/05/2022 02:39;complet;dev_premium;(N/A - Missing Value);Non;Non;23
animateur nature nature;F;z_High School;Commercial;Sports Car;no;5;1;Highly Urban/ Urban;06/02/2022 07:52;complet;dev_premium;(>40k€, 60k€);Oui;Non;24
ingénieur réservoir;M;<High School;Commercial;Pickup;no;1;1;Highly Urban/ Urban;27/04/2022 15:06;complet;dev_express;(>20k€, 40k€);Non;Non;25
collaborateur de notaire de notaire;M;z_High School;Private;Minivan;yes;1;;z_Highly Rural/ Rural;13/04/2022 00:52;complet;dev_express;(N/A - Missing Value);Non;Non;26
architecte réseaux;F;<High School;Private;Sports Car;no;0;1;z_Highly Rural/ Rural;22/03/2022 13:32;complet;dev_integral;(>40k€, 60k€);Non;Non;27
styliste;F;Masters;Private;z_SUV;no;5;;Highly Urban/ Urban;22/04/2022 03:39;complet;dev_integral;(>60k€, 80k€);Non;Non;28
huissier de justice;F;z_High School;Private;z_SUV;no;0;1;Highly Urban/ Urban;23/03/2022 22:44;complet;dev_vip;(>40k€, 60k€);Non;Non;29
agronome;F;Masters;Private;z_SUV;no;0;17;Highly Urban/ Urban;12/02/2022 20:23;complet;dev_premium;(>100k€, 150k€);Non;Non;30
technico-commercial en agroalimentaire;F;z_High School;Private;z_SUV;no;0;1;Highly Urban/ Urban;14/01/2022 07:11;complet;dev_express;(>20k€, 40k€);Oui;Non;31
conducteur de travaux;M;<High School;Commercial;Minivan;yes;6;5;z_Highly Rural/ Rural;09/04/2022 11:49;complet;dev_integral;(>20k€, 40k€);Oui;Non;32
ingénieur en génie climatique;F;Bachelors;Private;z_SUV;no;3;9;Highly Urban/ Urban;23/03/2022 06:12;complet;dev_express;(>100k€, 150k€);Non;Non;33
biostatisticien;M;<High School;Private;z_SUV;no;2;6;z_Highly Rural/ Rural;04/02/2022 17:14;complet;dev_premium;(>20k€, 40k€);Non;Non;34
technicien d'analyses biomédicales;M;Masters;Private;Sports Car;no;0;12;Highly Urban/ Urban;05/02/2022 18:50;complet;dev_express;(>60k€, 80k€);Oui;Oui;35
ingénieur de recherche clinique et épidémiologique;F;Bachelors;Private;z_SUV;no;0;9;Highly Urban/ Urban;08/02/2022 09:59;complet;dev_integral;(>20k€, 40k€);Non;Non;36
responsable du service après-vente;F;Bachelors;Commercial;Sports Car;no;0;15;Highly Urban/ Urban;06/02/2022 22:30;complet;dev_express;(>20k€, 40k€);Non;Non;37
sellier;F;Masters;Private;z_SUV;no;2;14;Highly Urban/ Urban;09/02/2022 14:28;complet;dev_integral;(>80k€, 100k€);Oui;Non;38
responsable du back office;F;Masters;Private;Minivan;no;0;15;Highly Urban/ Urban;26/05/2022 21:39;complet;dev_integral;(>150k€);Non;Non;39
maroquinier;M;z_High School;Private;z_SUV;no;1;11;z_Highly Rural/ Rural;04/03/2022 15:36;complet;dev_premium;(>40k€, 60k€);Non;Non;40
professeur de collège et de lycée;F;Bachelors;Private;Sports Car;no;0;10;Highly Urban/ Urban;31/05/2022 13:11;complet;dev_express;(N/A - Missing Value);Oui;Oui;41
éducateur de la protection judiciaire de la jeunesse (PJJ);F;<High School;Private;z_SUV;no;5;8;Highly Urban/ Urban;30/04/2022 23:20;complet;dev_express;(0, 20k€);Oui;Non;42
conducteur de travaux;M;Bachelors;Commercial;Pickup;yes;0;10;Highly Urban/ Urban;20/03/2022 04:00;complet;dev_express;(0, 20k€);Oui;Non;43
collecteur de fonds;F;z_High School;Private;Pickup;yes;0;;Highly Urban/ Urban;02/04/2022 11:25;complet;dev_premium;(>40k€, 60k€);Oui;Oui;44
commerçant en alimentation;M;Bachelors;Private;z_SUV;no;0;13;Highly Urban/ Urban;02/01/2022 20:05;complet;dev_integral;(>60k€, 80k€);Non;Non;45
mécanicien bateaux;F;Masters;Private;z_SUV;no;4;15;Highly Urban/ Urban;24/02/2022 21:52;complet;dev_express;(>80k€, 100k€);Non;Non;46
technicien électronicien électronicienne;M;<High School;Private;z_SUV;no;1;1;Highly Urban/ Urban;05/04/2022 02:47;complet;dev_express;(0, 20k€);Oui;Non;47
hôtesse de l'air;F;Masters;Commercial;Panel Truck;yes;1;13;Highly Urban/ Urban;21/02/2022 11:50;complet;dev_integral;(>100k€, 150k€);Non;Non;48
responsable du back office;M;Bachelors;Commercial;Van;yes;0;7;Highly Urban/ Urban;21/03/2022 00:37;complet;dev_integral;(>80k€, 100k€);Non;Non;49
directeur d'hôpital;F;<High School;Private;Van;yes;1;1;z_Highly Rural/ Rural;03/04/2022 12:30;complet;dev_integral;(>40k€, 60k€);Oui;Oui;50
tailleur de pierre;F;<High School;Commercial;Pickup;yes;7;1;Highly Urban/ Urban;28/03/2022 23:57;complet;dev_integral;(>20k€, 40k€);Non;Non;51
rédacteur on line;F;<High School;Private;Minivan;no;1;5;Highly Urban/ Urban;21/03/2022 07:59;complet;dev_express;(>40k€, 60k€);Oui;Non;52
géologue minier;M;Bachelors;Private;Minivan;no;0;7;Highly Urban/ Urban;23/05/2022 09:33;complet;dev_express;(>100k€, 150k€);Non;Non;53
conducteur de travaux  agricoles;F;Masters;Private;Sports Car;no;0;19;Highly Urban/ Urban;03/05/2022 20:20;complet;dev_express;(>40k€, 60k€);Non;Non;54
gestionnaire de données cliniques;F;Bachelors;Commercial;Minivan;no;5;8;z_Highly Rural/ Rural;11/04/2022 14:51;complet;dev_express;(>60k€, 80k€);Non;Non;55
sapeur-pompier;M;PhD;Private;Van;no;0;13;Highly Urban/ Urban;05/01/2022 09:29;complet;dev_premium;(>60k€, 80k€);Non;Non;56
technicien de la circulation ferroviaire SNCF;F;Masters;Commercial;Van;yes;4;9;Highly Urban/ Urban;14/05/2022 13:46;complet;dev_integral;(>40k€, 60k€);Oui;Non;57
dessinateur-projeteur;M;Bachelors;Private;z_SUV;no;2;12;Highly Urban/ Urban;20/04/2022 10:04;complet;dev_express;(>60k€, 80k€);Non;Non;58
credit manager;F;z_High School;Private;Van;yes;0;1;Highly Urban/ Urban;22/01/2022 11:01;complet;dev_express;(>20k€, 40k€);Oui;Oui;59
rédacteur on line;F;z_High School;Private;Sports Car;no;1;7;Highly Urban/ Urban;26/04/2022 16:17;complet;dev_express;(>20k€, 40k€);Oui;Oui;60
agent de propreté urbaine;F;Masters;Private;Minivan;no;0;16;Highly Urban/ Urban;23/03/2022 15:45;complet;dev_integral;(>80k€, 100k€);Non;Non;61
chargé de veille législative et réglementaire;F;Bachelors;Private;Pickup;no;0;8;Highly Urban/ Urban;27/04/2022 03:37;complet;dev_express;(>40k€, 60k€);Non;Non;62
guide-conférencier;F;Bachelors;Commercial;Van;no;0;5;Highly Urban/ Urban;24/05/2022 02:44;complet;dev_integral;(>60k€, 80k€);Oui;Non;63
conducteur de machines à papier;F;<High School;Private;Sports Car;no;0;1;Highly Urban/ Urban;09/05/2022 23:43;complet;dev_express;(>20k€, 40k€);Oui;Non;64
assistant maternel maternelle;F;Bachelors;Private;z_SUV;no;0;6;Highly Urban/ Urban;22/04/2022 08:38;complet;dev_integral;(0, 20k€);Non;Non;65
professeur dans l'enseignement agricole;M;z_High School;Private;z_SUV;no;5;1;Highly Urban/ Urban;17/05/2022 07:36;complet;dev_express;(>60k€, 80k€);Non;Non;66
avocat;M;Bachelors;Private;Pickup;no;0;7;Highly Urban/ Urban;01/05/2022 22:37;complet;dev_express;(>80k€, 100k€);Non;Non;67
pharmacien;M;<High School;Private;Minivan;no;3;5;z_Highly Rural/ Rural;29/05/2022 10:50;complet;dev_express;(0, 20k€);Non;Non;68
assistant dentaire;M;Bachelors;Private;z_SUV;yes;2;13;Highly Urban/ Urban;04/04/2022 09:48;complet;dev_express;(>20k€, 40k€);Oui;Non;69
dépanneur en électroménager;F;Bachelors;Commercial;Pickup;no;1;3;Highly Urban/ Urban;27/01/2022 21:31;complet;dev_integral;(>80k€, 100k€);Non;Non;70
ingénieur frigoriste;F;Bachelors;Private;z_SUV;no;0;9;Highly Urban/ Urban;13/01/2022 03:29;complet;dev_integral;(>60k€, 80k€);Non;Non;71
responsable de laboratoire de recherche;M;PhD;Private;z_SUV;no;2;12;Highly Urban/ Urban;08/01/2022 11:18;complet;dev_express;(>150k€);Non;Non;72
responsable de production alimentaire;M;Bachelors;Private;Minivan;yes;2;9;Highly Urban/ Urban;05/04/2022 09:02;complet;dev_integral;(>80k€, 100k€);Non;Non;73
prothésiste dentaire;F;z_High School;Private;Minivan;no;2;9;z_Highly Rural/ Rural;14/02/2022 02:00;complet;dev_premium;(>60k€, 80k€);Oui;Non;74
ascensoriste;M;Bachelors;Private;Pickup;no;0;8;Highly Urban/ Urban;14/01/2022 13:12;complet;dev_express;(>40k€, 60k€);Non;Non;75
coiffeur;F;Masters;Private;z_SUV;no;1;18;Highly Urban/ Urban;20/04/2022 02:38;complet;dev_integral;(>100k€, 150k€);Non;Non;76
architecte des systèmes d'information;F;z_High School;Commercial;Minivan;no;5;1;Highly Urban/ Urban;10/05/2022 13:40;complet;dev_express;(>60k€, 80k€);Non;Non;77
responsable de laboratoire de contrôle en chimie;M;Bachelors;Commercial;Panel Truck;no;4;11;Highly Urban/ Urban;24/01/2022 17:35;complet;dev_premium;(>40k€, 60k€);Non;Non;78
ingénieur recherche et développement en agroalimentaire;F;<High School;Private;Minivan;no;4;6;Highly Urban/ Urban;01/02/2022 04:48;complet;dev_express;(>40k€, 60k€);Non;Non;79
formulateur;M;z_High School;Private;Minivan;yes;1;1;Highly Urban/ Urban;20/04/2022 07:29;complet;dev_premium;(>100k€, 150k€);Non;Non;80
agent de constatation des douanes;M;z_High School;Private;Sports Car;no;0;3;z_Highly Rural/ Rural;02/01/2022 10:07;complet;dev_express;(0, 20k€);Non;Non;81
administrateur judiciaire;M;z_High School;Commercial;Van;yes;0;8;z_Highly Rural/ Rural;18/02/2022 08:51;complet;dev_express;(>100k€, 150k€);Non;Non;82
responsable de production alimentaire;F;Bachelors;Commercial;z_SUV;no;0;4;Highly Urban/ Urban;27/04/2022 19:14;complet;dev_express;(>20k€, 40k€);Oui;Non;83
cryptologue;M;<High School;Private;Sports Car;no;1;;z_Highly Rural/ Rural;09/05/2022 03:37;complet;dev_express;(0, 20k€);Non;Non;84
agent de développement touristique;M;z_High School;Commercial;Pickup;yes;2;8;Highly Urban/ Urban;14/01/2022 21:13;complet;dev_express;(>40k€, 60k€);Non;Non;85
développeur économique;M;z_High School;Private;Minivan;yes;0;9;Highly Urban/ Urban;30/03/2022 13:20;complet;dev_express;(>40k€, 60k€);Non;Non;86
enseignant d'art;M;Masters;Private;Minivan;no;0;17;Highly Urban/ Urban;25/01/2022 00:58;complet;dev_premium;(N/A - Missing Value);Non;Non;87
conseiller en séjour;F;z_High School;Private;z_SUV;no;0;1;z_Highly Rural/ Rural;28/05/2022 07:13;complet;dev_express;(>20k€, 40k€);Oui;Oui;88
géochimiste;M;Masters;Private;Minivan;no;0;13;Highly Urban/ Urban;12/02/2022 08:10;complet;dev_premium;(>40k€, 60k€);Non;Non;89
hydrogéologue;M;Masters;Private;Sports Car;no;0;2;z_Highly Rural/ Rural;11/01/2022 16:57;complet;dev_integral;(>40k€, 60k€);Oui;Non;90
juge d'instruction;M;z_High School;Commercial;Minivan;no;3;1;Highly Urban/ Urban;15/04/2022 05:20;complet;dev_express;(>40k€, 60k€);Non;Non;91
chef de projet multimédia;F;<High School;Private;Minivan;no;1;1;Highly Urban/ Urban;28/03/2022 10:41;complet;dev_premium;(>20k€, 40k€);Oui;Non;92
toiletteur d'animaux;F;z_High School;Private;Sports Car;no;6;1;Highly Urban/ Urban;26/02/2022 21:26;complet;dev_premium;(>80k€, 100k€);Non;Non;93
modéliste;M;z_High School;Private;Van;yes;0;1;Highly Urban/ Urban;17/01/2022 08:39;complet;dev_express;(>40k€, 60k€);Non;Non;94
ascensoriste;F;Bachelors;Private;Pickup;no;4;11;Highly Urban/ Urban;16/04/2022 00:13;complet;dev_integral;(>60k€, 80k€);Non;Non;95
miroitier;F;z_High School;Commercial;Pickup;yes;1;5;z_Highly Rural/ Rural;12/01/2022 03:39;complet;dev_integral;(>20k€, 40k€);Non;Non;96
géomaticien;M;z_High School;Private;Minivan;no;7;1;Highly Urban/ Urban;23/03/2022 01:48;complet;dev_express;(>20k€, 40k€);Non;Non;97
conseiller agricole;F;<High School;Private;Minivan;yes;0;6;Highly Urban/ Urban;17/04/2022 15:27;complet;dev_integral;(>40k€, 60k€);Oui;Oui;98
guichetier;M;PhD;Private;Van;yes;1;8;Highly Urban/ Urban;05/05/2022 04:13;complet;dev_integral;(>60k€, 80k€);Oui;Non;99
conducteur de bus ou d'autocar;M;z_High School;Commercial;z_SUV;no;0;1;Highly Urban/ Urban;28/02/2022 07:30;complet;dev_integral;(>60k€, 80k€);Non;Non;100
mécatronicien;M;Masters;Commercial;Pickup;no;2;12;Highly Urban/ Urban;12/02/2022 17:39;complet;dev_integral;(0, 20k€);Oui;Non;101
conducteur de travaux;F;z_High School;Private;Minivan;no;0;1;Highly Urban/ Urban;07/01/2022 19:37;complet;dev_integral;(>40k€, 60k€);Oui;Non;102
agent d'exploitation de l'eau;M;Bachelors;Private;Minivan;no;6;11;Highly Urban/ Urban;07/01/2022 13:02;complet;dev_integral;(>100k€, 150k€);Non;Non;103
paléontologue;M;Masters;Commercial;Panel Truck;yes;4;17;Highly Urban/ Urban;12/01/2022 00:08;complet;dev_express;(>150k€);Non;Non;104
dépanneur en électroménager;M;Bachelors;Private;Minivan;yes;1;12;Highly Urban/ Urban;24/05/2022 14:39;complet;dev_premium;(>60k€, 80k€);Non;Non;105
employé d'élevage;M;PhD;Commercial;Panel Truck;yes;0;14;Highly Urban/ Urban;25/03/2022 12:49;complet;dev_integral;(N/A - Missing Value);Oui;Non;106
chef de projet sites et sols pollués;F;<High School;Private;Minivan;no;0;5;Highly Urban/ Urban;02/01/2022 00:52;complet;dev_integral;(0, 20k€);Oui;Oui;107
ingénieur analyste de l'air;M;Bachelors;Commercial;Minivan;yes;1;12;z_Highly Rural/ Rural;01/03/2022 04:35;complet;dev_integral;(>60k€, 80k€);Oui;Non;108
magistrat;F;Bachelors;Private;Minivan;yes;5;11;Highly Urban/ Urban;28/01/2022 11:20;complet;dev_express;(>100k€, 150k€);Oui;Non;109
consultant en solutions intégrées;M;z_High School;Private;z_SUV;no;0;9;Highly Urban/ Urban;29/04/2022 08:01;complet;dev_premium;(0, 20k€);Non;Non;110
chef de projet éolien;M;Bachelors;Commercial;z_SUV;no;0;9;Highly Urban/ Urban;20/01/2022 00:10;complet;dev_integral;(>60k€, 80k€);Non;Non;111
esthéticien-cosméticien;M;Bachelors;Commercial;Minivan;no;0;12;Highly Urban/ Urban;06/05/2022 14:07;complet;dev_express;(>100k€, 150k€);Oui;Oui;112
mécanicien-réparateur en matériel agricole;M;z_High School;Private;z_SUV;no;0;8;Highly Urban/ Urban;14/03/2022 17:19;complet;dev_express;(0, 20k€);Oui;Non;113
chargé hygiène sécurité environnement (HSE);F;z_High School;Commercial;Minivan;no;2;6;Highly Urban/ Urban;20/03/2022 10:44;complet;dev_express;(>40k€, 60k€);Oui;Non;114
responsable e-CRM;F;Bachelors;Private;z_SUV;no;0;14;Highly Urban/ Urban;18/01/2022 01:43;complet;dev_premium;(>80k€, 100k€);Non;Non;115
technicien de police technique et scientifique;F;<High School;Private;Minivan;no;0;1;z_Highly Rural/ Rural;23/01/2022 11:52;complet;dev_premium;(>20k€, 40k€);Oui;Oui;116
comédien;F;Bachelors;Private;Sports Car;no;0;11;z_Highly Rural/ Rural;07/01/2022 23:42;complet;dev_express;(>40k€, 60k€);Oui;Oui;117
brodeur;F;z_High School;Private;Pickup;no;0;7;Highly Urban/ Urban;02/01/2022 23:14;complet;dev_integral;(0, 20k€);Oui;Oui;118
ingénieur d'études en sûreté nucléaire;M;z_High School;Commercial;Sports Car;no;2;1;Highly Urban/ Urban;23/05/2022 03:25;complet;dev_integral;(>40k€, 60k€);Oui;Oui;119
expert-comptable;M;Masters;Private;Minivan;no;0;15;Highly Urban/ Urban;29/05/2022 09:22;complet;dev_integral;(>60k€, 80k€);Non;Non;120
surveillant de centre pénitentiaire;M;PhD;Private;z_SUV;no;0;13;z_Highly Rural/ Rural;09/02/2022 09:54;complet;dev_integral;(0, 20k€);Non;Non;121
animateur d'activités physiques et sportives pour tous;M;Masters;Private;Minivan;yes;2;11;Highly Urban/ Urban;17/02/2022 21:50;complet;dev_express;(>80k€, 100k€);Oui;Non;122
consultant en validation;M;Bachelors;Private;z_SUV;no;0;12;Highly Urban/ Urban;06/05/2022 08:05;complet;dev_integral;(>100k€, 150k€);Non;Non;123
viticulteur;F;Bachelors;Private;Pickup;yes;0;11;Highly Urban/ Urban;25/01/2022 10:57;complet;dev_integral;(>60k€, 80k€);Non;Non;124
technicien en automatismes;F;Masters;Private;Van;no;4;9;Highly Urban/ Urban;01/01/2022 10:42;complet;dev_integral;(>20k€, 40k€);Oui;Non;125
ingénieur du son;M;Bachelors;Private;Minivan;no;0;8;Highly Urban/ Urban;02/04/2022 23:05;complet;dev_integral;(>80k€, 100k€);Non;Non;126
assistant de gestion en PME;M;z_High School;Private;Minivan;no;2;1;Highly Urban/ Urban;14/04/2022 03:03;complet;dev_integral;(>100k€, 150k€);Non;Non;127
ingénieur aromaticien aromaticienne;M;z_High School;Commercial;Minivan;yes;7;1;z_Highly Rural/ Rural;07/03/2022 01:04;complet;dev_express;(0, 20k€);Non;Non;128
responsable d'élevage agricole;M;Bachelors;Commercial;Sports Car;no;1;;Highly Urban/ Urban;04/04/2022 21:37;complet;dev_premium;(>40k€, 60k€);Non;Non;129
assistant de service social;M;PhD;Private;Minivan;no;1;13;Highly Urban/ Urban;20/04/2022 04:58;complet;dev_express;(>100k€, 150k€);Non;Non;130
hydraulicien;F;Bachelors;Private;Sports Car;no;0;13;Highly Urban/ Urban;25/02/2022 11:43;complet;dev_express;(0, 20k€);Oui;Non;131
puériculteur;F;z_High School;Private;Minivan;no;8;9;Highly Urban/ Urban;28/05/2022 00:32;complet;dev_vip;(>20k€, 40k€);Oui;Non;132
chef de mission humanitaire;M;<High School;Private;z_SUV;no;0;1;z_Highly Rural/ Rural;18/03/2022 05:26;complet;dev_express;(0, 20k€);Oui;Non;133
contrôleur aérien aérienne;M;z_High School;Private;Minivan;yes;3;5;Highly Urban/ Urban;25/02/2022 19:06;complet;dev_express;(>20k€, 40k€);Non;Non;134
oenologue;F;Bachelors;Private;z_SUV;no;0;9;Highly Urban/ Urban;08/04/2022 14:50;complet;dev_integral;(>40k€, 60k€);Oui;Oui;135
modéliste;F;Masters;Private;Minivan;no;0;16;Highly Urban/ Urban;01/05/2022 13:47;complet;dev_integral;(>80k€, 100k€);Oui;Non;136
sous-officier de l'armée de l'air;M;Masters;Commercial;Van;yes;2;15;Highly Urban/ Urban;27/03/2022 09:47;complet;dev_integral;(>40k€, 60k€);Non;Non;137
accessoiriste;M;Masters;Commercial;Van;no;4;9;Highly Urban/ Urban;11/05/2022 02:14;complet;dev_express;(>100k€, 150k€);Oui;Oui;138
agent de propreté et d'hygiène;M;z_High School;Commercial;z_SUV;no;4;1;Highly Urban/ Urban;31/05/2022 03:31;complet;dev_express;(>40k€, 60k€);Oui;Non;139
technicien logistique;F;z_High School;Private;Sports Car;no;6;7;Highly Urban/ Urban;24/04/2022 23:44;complet;dev_premium;(N/A - Missing Value);Oui;Non;140
prototypiste en matériaux souples;M;z_High School;Commercial;Sports Car;no;2;9;Highly Urban/ Urban;06/03/2022 04:31;complet;dev_integral;(>80k€, 100k€);Non;Non;141
formulateur;F;Masters;Private;Minivan;no;0;9;Highly Urban/ Urban;18/02/2022 17:27;complet;dev_integral;(>100k€, 150k€);Non;Non;142
infirmier;F;Bachelors;Private;Pickup;yes;0;12;Highly Urban/ Urban;05/01/2022 05:06;complet;dev_integral;(>100k€, 150k€);Oui;Non;143
affûteur;M;Bachelors;Private;z_SUV;no;5;15;Highly Urban/ Urban;19/02/2022 05:07;complet;dev_premium;(>40k€, 60k€);Non;Non;144
conducteur d'engins forestiers de récolte en entreprises de travaux forestiers;M;z_High School;Commercial;z_SUV;no;7;;Highly Urban/ Urban;21/05/2022 17:06;complet;dev_express;(0, 20k€);Oui;Non;145
agent de propreté et d'hygiène;M;Bachelors;Private;z_SUV;no;2;11;Highly Urban/ Urban;13/05/2022 05:41;complet;dev_express;(>20k€, 40k€);Non;Non;146
technicien biologiste;M;Bachelors;Private;z_SUV;no;0;7;Highly Urban/ Urban;20/02/2022 18:23;complet;dev_integral;(>80k€, 100k€);Non;Non;147
psychologue de l'éducation nationale spécialité éducation, développement et conseil en orientation scolaire et professionnelle;M;z_High School;Private;z_SUV;no;1;10;z_Highly Rural/ Rural;16/04/2022 08:28;complet;dev_integral;(>20k€, 40k€);Oui;Oui;148
tonnelier;F;Masters;Private;z_SUV;no;0;19;Highly Urban/ Urban;03/03/2022 11:37;complet;dev_integral;(>80k€, 100k€);Non;Non;149
technico-commercial en agroalimentaire;F;Masters;Private;Minivan;no;0;15;z_Highly Rural/ Rural;26/02/2022 20:58;complet;dev_express;(>80k€, 100k€);Non;Non;150
agent de sûreté ferroviaire;M;z_High School;Private;Minivan;no;0;10;Highly Urban/ Urban;19/02/2022 07:35;complet;dev_integral;(>40k€, 60k€);Non;Non;151
chargé de pharmacovigilance;F;Bachelors;Private;z_SUV;no;2;5;Highly Urban/ Urban;05/03/2022 12:14;complet;dev_express;(>60k€, 80k€);Non;Non;152
professeur dans l'enseignement agricole;F;PhD;Private;Minivan;yes;3;1;Highly Urban/ Urban;11/01/2022 23:53;complet;dev_express;(N/A - Missing Value);Oui;Non;153
éducateur sportif sportive des activités aquatiques et de la natation;M;<High School;Private;Minivan;no;1;4;Highly Urban/ Urban;25/03/2022 21:08;complet;dev_express;(>20k€, 40k€);Non;Non;154
anatomiste;F;z_High School;Commercial;Pickup;yes;0;9;z_Highly Rural/ Rural;22/02/2022 18:20;complet;dev_integral;(>20k€, 40k€);Oui;Non;155
responsable des ressources humaines;M;PhD;Commercial;Van;yes;0;12;Highly Urban/ Urban;14/01/2022 04:38;complet;dev_integral;(>100k€, 150k€);Oui;Oui;156
ingénieur de la police technique et scientifique;F;<High School;Private;Sports Car;no;5;4;Highly Urban/ Urban;08/04/2022 21:31;complet;dev_express;(0, 20k€);Oui;Non;157
enseignant spécialisé spécialisée;M;Masters;Private;Pickup;no;0;15;Highly Urban/ Urban;17/04/2022 13:11;complet;dev_integral;(>60k€, 80k€);Non;Non;158
animalier de laboratoire;M;Bachelors;Commercial;Minivan;yes;0;9;z_Highly Rural/ Rural;14/05/2022 20:36;complet;dev_integral;(>100k€, 150k€);Non;Non;159
chargé d'affaires en génie climatique;M;z_High School;Commercial;z_SUV;no;6;1;Highly Urban/ Urban;02/02/2022 00:42;complet;dev_integral;(>80k€, 100k€);Non;Non;160
rudologue;M;Bachelors;Private;Sports Car;no;0;8;Highly Urban/ Urban;21/05/2022 22:35;complet;dev_integral;(>80k€, 100k€);Oui;Oui;161
assistant dentaire;M;Bachelors;Private;z_SUV;no;2;12;Highly Urban/ Urban;09/03/2022 16:06;complet;dev_premium;(>100k€, 150k€);Non;Non;162
nivoculteur;F;Masters;Private;Minivan;no;1;12;z_Highly Rural/ Rural;27/02/2022 09:10;complet;dev_integral;(>150k€);Oui;Oui;163
directeur de magasin à grande surface;F;Masters;Private;Minivan;no;0;14;Highly Urban/ Urban;03/04/2022 03:15;complet;dev_integral;(>40k€, 60k€);Oui;Non;164
architecte;F;Bachelors;Private;Sports Car;no;1;8;z_Highly Rural/ Rural;02/04/2022 11:55;complet;dev_express;(0, 20k€);Non;Non;165
